====================================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Press   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt    psir  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
------------------------------------------------------------------------------------------------------------------------------------
2019/12/20 18:19:14 12.38  46126  35006 28.5666 29.98  29.87   2.466   1.699  7.85   -67.7   1.2   0.3    20.3   92.6   8.20    12.7
2019/12/20 18:25:14 12.36  45872  34800 28.7358 29.82  29.69   2.409   1.659  7.85   -67.7   2.1   0.5    25.3   92.6   8.22    12.7
2019/12/20 18:31:14 12.35  45674  34636 28.8719 29.69  29.55   2.348   1.618  7.85   -67.6   2.3   0.5    24.9   92.6   8.23    12.6
2019/12/20 18:37:14 12.32  45184  34242 29.2037 29.37  29.19   2.295   1.582  7.85   -67.4   2.0   0.5    25.5   92.7   8.26    12.7
2019/12/20 18:43:14 12.26  44235  33475 29.8734 28.75  28.51   2.232   1.539  7.85   -67.4   1.6   0.4    22.8   92.7   8.30    12.7
2019/12/20 18:49:14 12.00  39606  29769 33.5925 25.74  25.23   2.182   1.508  7.83   -66.2   1.4   0.3    17.5   92.7   8.53    12.7
2019/12/20 18:55:13 12.02  40003  30083 33.2414 26.00  25.51   2.154   1.489  7.82   -66.0   1.5   0.3    27.4   92.5   8.49    12.7
2019/12/20 19:01:14 12.02  39657  29825 33.5287 25.78  25.26   2.107   1.457  7.82   -66.0   2.8   0.6    20.8   93.1   8.56    12.7
2019/12/20 19:07:14 12.03  39836  29968 33.3686 25.89  25.39   2.048   1.415  7.82   -65.9   2.8   0.6    19.2   93.0   8.54    12.6
2019/12/20 19:13:13 12.01  39740  29883 33.4635 25.83  25.32   2.049   1.416  7.82   -65.7   1.8   0.4    20.5   92.5   8.50    12.7
2019/12/20 19:19:13 12.02  39687  29844 33.5073 25.80  25.28   1.999   1.382  7.81   -65.4   1.2   0.3    22.5   92.5   8.50    12.7
2019/12/20 19:25:14 12.07  40479  30482 32.8058 26.31  25.84   1.958   1.353  7.82   -65.9   2.4   0.5    23.0   92.6   8.47    12.7
2019/12/20 19:31:14 12.08  40517  30520 32.7659 26.34  25.87   1.890   1.306  7.82   -66.0   3.3   0.8    31.1   92.8   8.48    12.7
2019/12/20 19:37:14 12.06  39975  30092 33.2311 25.98  25.49   1.891   1.307  7.82   -65.6   1.9   0.4    23.9   92.7   8.50    12.7
2019/12/20 19:43:14 12.04  39457  29689 33.6820 25.65  25.12   1.840   1.272  7.82   -65.6   2.3   0.5    18.3   92.6   8.52    12.7
2019/12/20 19:49:13 12.04  39426  29668 33.7064 25.63  25.10   1.823   1.260  7.82   -65.6   1.8   0.4    16.8   92.6   8.52    12.7
2019/12/20 19:55:13 12.05  39331  29602 33.7814 25.56  25.03   1.795   1.241  7.81   -65.4   1.1   0.2    17.2   92.6   8.52    12.7
2019/12/20 20:01:13 12.07  39130  29465 33.9382 25.43  24.89   1.776   1.228  7.81   -65.3   2.0   0.5    14.3   92.9   8.55    12.7
2019/12/20 20:07:14 12.08  39100  29447 33.9590 25.41  24.87   1.726   1.194  7.81   -65.6   0.8   0.2    16.7   93.2   8.57    12.7
2019/12/20 20:13:14 12.06  39163  29480 33.9208 25.46  24.92   1.705   1.179  7.82   -65.7   2.4   0.5    12.6   93.3   8.59    12.6
2019/12/20 20:19:14 12.06  39226  29530 33.8635 25.50  24.96   1.675   1.158  7.82   -65.7   1.0   0.2    14.1   93.3   8.58    12.7
2019/12/20 20:25:14 12.06  39217  29524 33.8708 25.49  24.95   1.648   1.139  7.82   -65.7   1.5   0.3    14.2   93.1   8.57    12.7
