============================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
----------------------------------------------------------------------------------------------------------------------------
2019/11/21 15:31:14 13.43  45540  35477 28.1876 29.60  29.49   1.959  7.81   -65.4   0.4   0.1     6.1   88.3   7.67    12.5
2019/11/21 15:37:14 13.40  45959  35775 27.9522 29.87  29.79   1.972  7.82   -65.6   0.3   0.1     5.7   88.0   7.64    12.5
2019/11/21 15:43:13 13.38  46243  35976 27.7966 30.06  29.99   1.983  7.82   -65.7   0.5   0.1     4.4   88.3   7.66    12.4
2019/11/21 15:49:13 13.37  46266  35991 27.7846 30.07  30.01   1.993  7.82   -65.7   1.5   0.3     6.0   88.5   7.67    12.4
2019/11/21 15:55:13 13.35  46508  36157 27.6570 30.23  30.18   2.003  7.83   -66.1   0.9   0.2     4.8   88.3   7.65    12.4
2019/11/21 16:01:13 13.34  46557  36192 27.6301 30.26  30.22   2.012  7.83   -66.1   0.9   0.2     5.1   88.4   7.66    12.4
2019/11/21 16:07:13 13.28  46893  36393 27.4781 30.48  30.46   2.021  7.83   -66.2   0.2   0.0     8.7   88.1   7.63    12.4
2019/11/21 16:13:13 13.28  46884  36385 27.4840 30.47  30.45   2.028  7.83   -66.2   0.9   0.2     9.7   88.1   7.63    12.4
2019/11/21 16:19:13 13.22  47169  36553 27.3577 30.66  30.65   2.036  7.83   -66.2   0.6   0.1     9.6   88.2   7.64    12.5
2019/11/21 16:25:13 13.18  47364  36673 27.2681 30.79  30.79   2.043  7.83   -66.3   0.3   0.1     8.5   88.5   7.67    12.4
2019/11/21 16:31:13 13.18  47348  36662 27.2761 30.78  30.78   2.049  7.83   -66.4   0.6   0.1     7.5   88.3   7.65    12.4
2019/11/21 16:37:13 13.17  47433  36714 27.2377 30.83  30.84   2.055  7.83   -66.5  -0.1   0.0     7.2   88.3   7.65    12.4
